"Lane","Block","Passes","Distance","Vehicle","Turn","GNDVI","LCI","NDRE","NDVI","OSAVI"
2,"B","4",38,"KXI","Left",0.543117750058548,0.169083978024531,0.122152977326413,0.552831526124317,0.339370285633591
2,"B","4",39,"KXI","Left",0.581196850863802,0.188769159699175,0.132930423982255,0.607837531674434,0.379300155845865
2,"B","4",40,"KXI","Straight",0.61282950256392,0.202438594604048,0.138866997106591,0.660089591550106,0.422576366887213
2,"B","4",41,"KXI","Straight",0.60855180706503,0.203380559439079,0.139328733322408,0.663292850284575,0.412371038139983
2,"B","4",42,"KXI","Right",0.618265265117406,0.20791227468178,0.141813088618034,0.67485494626512,0.416255149264667
2,"B","4",43,"KXI","Right",0.628443793881479,0.214199885688622,0.144766598157494,0.693356151479818,0.445335067233749
2,"B","4",44,"KXI","Right",0.596333284483529,0.201474231273888,0.138367874947798,0.656699781729328,0.417411067888239
2,"B","4",45,"KXI","Right",0.58976088282905,0.194761691428238,0.133554760147124,0.653064727814119,0.400361135332941
2,"B","4",46,"KXI","Right",0.573565400995365,0.188745784623642,0.130940818065841,0.629786488213361,0.377063642102418
2,"B","4",47,"KXI","Right",0.60265689895424,0.203495570261013,0.139000380752435,0.665534144354671,0.423163122985765
2,"B","4",48,"KXI","Right",0.622487703603617,0.214239934887641,0.145692547273453,0.683256361012257,0.435814917504176
2,"B","4",49,"KXI","Right",0.613729340748511,0.203014534046359,0.138374188198312,0.669969207621825,0.425516759362627
2,"B","4",50,"KXI","Right",0.610836663813528,0.201015259591854,0.137236499048746,0.663805727963861,0.428107813039535
2,"B","4",51,"KXI","Straight",0.610133094154842,0.200937874600985,0.138351843028048,0.65293023373351,0.410872692100899
2,"B","4",52,"KXI","Straight",0.610005634161724,0.189622382095571,0.130359285872319,0.644177401286564,0.416875192503714
2,"B","4",53,"KXI","Straight",0.63675234580209,0.204143093978304,0.137629183853984,0.687002346188377,0.442361777816806
2,"B","4",54,"KXI","Straight",0.627259717371092,0.211304101741833,0.14284558589386,0.690692833410797,0.438596567582376
2,"B","4",55,"KXI","Straight",0.62159766981326,0.215306436951528,0.145544673391594,0.693850260786608,0.43586102919713
2,"B","4",56,"KXI","Straight",0.629166235274807,0.222039992003175,0.149274725874371,0.707652783252509,0.445810133173185
2,"B","4",57,"KXI","Straight",0.61813450017583,0.21043443169807,0.143049095211889,0.680621177595882,0.431722899458973
2,"B","4",58,"KXI","Straight",0.61134478952308,0.202773628445376,0.137992631214345,0.672195151370386,0.423449151935186
2,"B","4",59,"KXI","Straight",0.614134430331525,0.205387969315477,0.139879372002062,0.673789563863414,0.417965347848794
2,"B","4",60,"KXI","Straight",0.621176348706826,0.211551438513504,0.143660910171305,0.683512295170617,0.419299332948189
3,"B","4",1,"Standard","Straight",0.606699595915815,0.206191146369855,0.138686618209085,0.694753647134368,0.421219228678757
3,"B","4",2,"Standard","Straight",0.601542922865784,0.197900348211474,0.134086725298519,0.676017613993798,0.413131979193341
3,"B","4",3,"Standard","Straight",0.591542938954044,0.190965537320624,0.131973144575424,0.641715706413379,0.38807562855144
3,"B","4",4,"Standard","Straight",0.566088193517872,0.183018794239634,0.128551528710727,0.611164737645199,0.360937510181661
3,"B","4",5,"Standard","Straight",0.563785393229481,0.185189546081351,0.130402522540238,0.608939310619525,0.354978697926157
3,"B","4",6,"Standard","Straight",0.57651889887854,0.187719120789043,0.131147661815157,0.620058067937133,0.381432880145628
3,"B","4",7,"Standard","Straight",0.590181467472203,0.194439830012682,0.134457039107641,0.642058746624057,0.401607015308968
3,"B","4",8,"Standard","Straight",0.600997160770442,0.196320720927215,0.134522701985312,0.657513232847243,0.406589995374261
3,"B","4",9,"Standard","Straight",0.619961553989505,0.206315260940888,0.139496546994066,0.687429393387788,0.430368682577529
3,"B","4",10,"Standard","Straight",0.637094836130021,0.21869223203623,0.146783233529801,0.709744417549952,0.447090960724547
3,"B","4",11,"Standard","Straight",0.635446830595119,0.222382153851508,0.150028229785212,0.705253593993325,0.442400415781781
3,"B","4",12,"Standard","Straight",0.654845086105157,0.233053091935639,0.155667239901696,0.730350224918923,0.467594963908255
3,"B","4",13,"Standard","Straight",0.655958124249331,0.239196440949679,0.159670527460084,0.738009862798351,0.476731861145597
3,"B","4",14,"Standard","Right",0.630140639876128,0.227945036549169,0.152572667681125,0.722591058621945,0.461444167954951
