"Block","Vehicle","Distance","Lane","GNDVI","LCI","NDRE","NDVI","OSAVI"
"A","Standard",26,1,0.51810431687971,0.154361345686539,0.11325085692971,0.518997303198205,0.337428235404113
"A","Standard",27,1,0.524882111677037,0.156430815819499,0.113433747820481,0.531562055930992,0.34271685636216
"A","Standard",28,1,0.551602813839863,0.174669444312281,0.123914805091642,0.582285790508222,0.384607766224939
"A","Standard",29,1,0.501189934511202,0.154958403483049,0.112900379644169,0.520532847205122,0.335780027077428
"A","Standard",30,1,0.452025019917629,0.130700221542242,0.0995513973917381,0.436785259156183,0.271161998274959
"A","KXI",1,2,0.554701629218088,0.175067447024962,0.124677438796511,0.578370877497162,0.388385768348063
"A","KXI",2,2,0.573884710501609,0.179577693897611,0.126429813621952,0.60008916625004,0.406798715406663
"A","KXI",3,2,0.5672827772927,0.182765406499215,0.129832857830373,0.589007770378387,0.39278740087576
"A","KXI",4,2,0.539621789466768,0.170789182262877,0.123159334070349,0.558774108113574,0.366406263739261
"A","KXI",5,2,0.504379436708424,0.154584521318257,0.11368122218035,0.506514947410606,0.330575888995293
"A","KXI",6,2,0.519344886153429,0.161738351521261,0.118595583495351,0.523668330229011,0.348180455005455
"A","KXI",7,2,0.521478353333785,0.160278905439331,0.117032679561502,0.531017112557768,0.346693242425948
"A","KXI",8,2,0.536137027117914,0.156325006711553,0.112366514668353,0.550250409175283,0.361114624394598
"A","KXI",9,2,0.539514667413173,0.168419908097989,0.121957281524782,0.551627753391264,0.362588694414152
"A","KXI",10,2,0.526369883683498,0.162678725413673,0.117913947475316,0.542715924531871,0.361882911727943
"A","KXI",11,2,0.506248851539062,0.150439091866135,0.108751892773073,0.527962348104899,0.355184559976331
"A","KXI",12,2,0.547350811639284,0.169385067101088,0.120231537049326,0.580244783664085,0.395251806121413
"A","KXI",13,2,0.571609643739329,0.18400354681595,0.129349425519475,0.608116115788964,0.415013605298553
"A","KXI",14,2,0.482684951292993,0.139338738584219,0.101797341586605,0.49219344413923,0.32756911519411
"A","KXI",15,2,0.502299383090438,0.149642552659293,0.110101773553369,0.502715270307079,0.333643020200677
"A","KXI",16,2,0.554643181285411,0.177693158327546,0.127414205778406,0.573679982446819,0.389148941091416
"A","KXI",17,2,0.56314226429178,0.183797018788146,0.130729663369396,0.595485386355374,0.395955973202045
"A","KXI",18,2,0.533391808442905,0.167249209616173,0.120445504573243,0.561813889306862,0.366051652521392
"A","KXI",19,2,0.535422033826932,0.16582940944943,0.11948650590618,0.559130967959045,0.370327389977305
"A","KXI",20,2,0.536018143441474,0.165484231936972,0.119572037278182,0.552938607018406,0.375151384233214
"A","KXI",21,2,0.553588681640717,0.17649211467216,0.123743727133911,0.604623614753285,0.407351540736785
"A","KXI",22,2,0.557470100024169,0.180785031059298,0.126677842996913,0.608142214623945,0.408553864371363
"A","KXI",23,2,0.575523750972801,0.184306112773218,0.127558143668377,0.628774412759617,0.431904394832435
"A","KXI",24,2,0.538985113016758,0.162647670882306,0.11569112664177,0.570547470502114,0.380945586912466
"A","KXI",25,2,0.511110683766831,0.157817333334913,0.115384398924134,0.52808160121425,0.342833925452169
"A","KXI",26,2,0.496096171910724,0.150865911120707,0.111718696625333,0.502737673416528,0.323486948229871
"A","KXI",27,2,0.485918430849392,0.146326393881777,0.109874792954595,0.480957985684481,0.311208170199604
"A","KXI",28,2,0.470006370472277,0.138900065026605,0.105538119141306,0.457696203907407,0.292688053054825
"A","KXI",29,2,0.475388038244354,0.145864694294241,0.110554508908848,0.46778217736457,0.299663356753091
"A","KXI",30,2,0.465672386143935,0.14556351438674,0.109965376140354,0.4650529912672,0.293172521395836
"A","Control",1,3,0.557990292779333,0.178177780748956,0.127001315769376,0.579252198533501,0.381931725187908
"A","Control",2,3,0.527821730106336,0.164767013707398,0.11839694408583,0.550419800609002,0.360366873448118
"A","Control",3,3,0.551336346953622,0.180082366428632,0.12733800038037,0.589145672188285,0.395267453426826
"A","Control",4,3,0.545657899624721,0.180703411698306,0.129618982376368,0.575671181381158,0.381456646089642
"A","Control",5,3,0.550088665411575,0.181177724560276,0.129433744618945,0.580410336089882,0.380332787537429
"A","Control",6,3,0.537806977339823,0.177078619853999,0.126324644104795,0.575698225180304,0.380222439036565
"A","Control",7,3,0.537345046605823,0.17302709157526,0.123469516108289,0.571412549764403,0.384529307010843
"A","Control",8,3,0.576281381239629,0.191506672281255,0.132076379126482,0.638746037003239,0.436532321137771
"A","Control",9,3,0.59804302123652,0.210113259446044,0.142730517396235,0.670640444554091,0.470691680092164
"A","Control",10,3,0.542855984770274,0.183586227018693,0.13059715277045,0.588056143195601,0.392941514920062
"A","Control",11,3,0.591760592638347,0.216689897862453,0.149634925899532,0.655559448958186,0.457442271051047
